Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.183000	5.000000	1000	0.183000	0.183000	0.266339	
1000	0.299000	3.517826	1000	0.299000	0.299000	0.269061	
1000	0.328000	3.517826	1000	0.328000	0.328000	0.273594	
1000	0.331000	3.517826	1000	0.331000	0.331000	0.277694	
1000	0.324000	3.517826	1000	0.324000	0.324000	0.280781	
1000	0.325000	3.517826	1000	0.325000	0.325000	0.283545	
1000	0.323000	3.517826	1000	0.323000	0.323000	0.285866	
1000	0.303000	3.517826	1000	0.303000	0.303000	0.286817	
1000	0.281000	3.517826	1000	0.281000	0.281000	0.286511	
1000	0.352000	3.517826	1000	0.352000	0.352000	0.289786	
1000	0.353000	3.517826	1000	0.353000	0.353000	0.292796	
1000	0.296000	3.517826	1000	0.296000	0.296000	0.292941	
1000	0.322000	3.517826	1000	0.322000	0.322000	0.294205	
1000	0.327000	3.517826	1000	0.327000	0.327000	0.295571	
1000	0.307000	3.517826	1000	0.307000	0.307000	0.296028	
1000	0.351000	3.517826	1000	0.351000	0.351000	0.298142	
1000	0.318000	3.517826	1000	0.318000	0.318000	0.298878	
1000	0.306000	3.517826	1000	0.306000	0.306000	0.299132	
1000	0.300000	3.517826	1000	0.300000	0.300000	0.299162	
1000	0.316000	3.517826	1000	0.316000	0.316000	0.299723	
1000	0.279000	3.517826	1000	0.279000	0.279000	0.299055	
1000	0.337000	3.517826	1000	0.337000	0.337000	0.300241	
1000	0.330000	3.517826	1000	0.330000	0.330000	0.301142	
1000	0.287000	3.517826	1000	0.287000	0.287000	0.300726	
1000	0.297000	3.517826	1000	0.297000	0.297000	0.300620	
1000	0.327000	3.517826	1000	0.327000	0.327000	0.301353	
1000	0.280000	3.517826	1000	0.280000	0.280000	0.300776	
1000	0.326000	3.517826	1000	0.326000	0.326000	0.301439	
1000	0.290000	3.517826	1000	0.290000	0.290000	0.301146	
1000	0.322000	3.517826	1000	0.322000	0.322000	0.301667	
1000	0.307000	3.517826	1000	0.307000	0.307000	0.301798	
1000	0.339000	3.517826	1000	0.339000	0.339000	0.302683	
1000	0.326000	3.517826	1000	0.326000	0.326000	0.303226	
1000	0.269000	3.517826	1000	0.269000	0.269000	0.302448	
1000	0.357000	3.517826	1000	0.357000	0.357000	0.303660	
1000	0.302000	3.517826	1000	0.302000	0.302000	0.303624	
1000	0.291000	3.517826	1000	0.291000	0.291000	0.303355	
1000	0.330000	3.517826	1000	0.330000	0.330000	0.303910	
1000	0.281000	3.517826	1000	0.281000	0.281000	0.303443	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.303574	
1000	0.337000	3.517826	1000	0.337000	0.337000	0.304229	
1000	0.358000	3.517826	1000	0.358000	0.358000	0.305263	
1000	0.341000	3.517826	1000	0.341000	0.341000	0.305938	
1000	0.306000	3.517826	1000	0.306000	0.306000	0.305939	
1000	0.288000	3.517826	1000	0.288000	0.288000	0.305613	
1000	0.325000	3.517826	1000	0.325000	0.325000	0.305959	
1000	0.306000	3.517826	1000	0.306000	0.306000	0.305960	
1000	0.291000	3.517826	1000	0.291000	0.291000	0.305702	
1000	0.316000	3.517826	1000	0.316000	0.316000	0.305876	
1000	0.313000	3.517826	1000	0.313000	0.313000	0.305995	
1000	0.313000	3.517826	1000	0.313000	0.313000	0.306110	
1000	0.330000	3.517826	1000	0.330000	0.330000	0.306495	
1000	0.279000	3.517826	1000	0.279000	0.279000	0.306059	
1000	0.311000	3.517826	1000	0.311000	0.311000	0.306136	
1000	0.306000	3.517826	1000	0.306000	0.306000	0.306134	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.306192	
1000	0.298000	3.517826	1000	0.298000	0.298000	0.306070	
1000	0.267000	3.517826	1000	0.267000	0.267000	0.305496	
1000	0.326000	3.517826	1000	0.326000	0.326000	0.305793	
1000	0.367000	3.517826	1000	0.367000	0.367000	0.306667	
1000	0.302000	3.517826	1000	0.302000	0.302000	0.306601	
1000	0.359000	3.517826	1000	0.359000	0.359000	0.307329	
1000	0.319000	3.517826	1000	0.319000	0.319000	0.307489	
1000	0.303000	3.517826	1000	0.303000	0.303000	0.307428	
1000	0.354000	3.517826	1000	0.354000	0.354000	0.308049	
1000	0.298000	3.517826	1000	0.298000	0.298000	0.307917	
1000	0.329000	3.517826	1000	0.329000	0.329000	0.308191	
1000	0.336000	3.517826	1000	0.336000	0.336000	0.308547	
1000	0.311000	3.517826	1000	0.311000	0.311000	0.308578	
1000	0.280000	3.517826	1000	0.280000	0.280000	0.308221	
1000	0.321000	3.517826	1000	0.321000	0.321000	0.308379	
1000	0.298000	3.517826	1000	0.298000	0.298000	0.308252	
1000	0.358000	3.517826	1000	0.358000	0.358000	0.308852	
1000	0.285000	3.517826	1000	0.285000	0.285000	0.308568	
1000	0.304000	3.517826	1000	0.304000	0.304000	0.308514	
1000	0.291000	3.517826	1000	0.291000	0.291000	0.308310	
1000	0.311000	3.517826	1000	0.311000	0.311000	0.308341	
1000	0.347000	3.517826	1000	0.347000	0.347000	0.308781	
1000	0.298000	3.517826	1000	0.298000	0.298000	0.308659	
1000	0.326000	3.517826	1000	0.326000	0.326000	0.308852	
1000	0.341000	3.517826	1000	0.341000	0.341000	0.309205	
1000	0.327000	3.517826	1000	0.327000	0.327000	0.309399	
1000	0.273000	3.517826	1000	0.273000	0.273000	0.309007	
1000	0.305000	3.517826	1000	0.305000	0.305000	0.308965	
1000	0.335000	3.517826	1000	0.335000	0.335000	0.309239	
1000	0.285000	3.517826	1000	0.285000	0.285000	0.308986	
1000	0.292000	3.517826	1000	0.292000	0.292000	0.308811	
1000	0.318000	3.517826	1000	0.318000	0.318000	0.308905	
1000	0.358000	3.517826	1000	0.358000	0.358000	0.309401	
1000	0.326000	3.517826	1000	0.326000	0.326000	0.309567	
1000	0.291000	3.517826	1000	0.291000	0.291000	0.309383	
1000	0.312000	3.517826	1000	0.312000	0.312000	0.309409	
1000	0.301000	3.517826	1000	0.301000	0.301000	0.309327	
1000	0.278000	3.517826	1000	0.278000	0.278000	0.309026	
1000	0.339000	3.517826	1000	0.339000	0.339000	0.309311	
1000	0.284000	3.517826	1000	0.284000	0.284000	0.309073	
1000	0.282000	3.517826	1000	0.282000	0.282000	0.308820	
1000	0.314000	3.517826	1000	0.314000	0.314000	0.308868	
1000	0.293000	3.517826	1000	0.293000	0.293000	0.308722	
1000	0.337000	3.517826	1000	0.337000	0.337000	0.308979	
1000	0.349000	3.517826	1000	0.349000	0.349000	0.309340	
1000	0.288000	3.517826	1000	0.288000	0.288000	0.309149	
1000	0.354000	3.517826	1000	0.354000	0.354000	0.309546	
1000	0.347000	3.517826	1000	0.347000	0.347000	0.309874	
1000	0.289000	3.517826	1000	0.289000	0.289000	0.309693	
1000	0.322000	3.517826	1000	0.322000	0.322000	0.309799	
1000	0.319000	3.517826	1000	0.319000	0.319000	0.309878	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.309879	
1000	0.316000	3.517826	1000	0.316000	0.316000	0.309930	
1000	0.316000	3.517826	1000	0.316000	0.316000	0.309981	
1000	0.314000	3.517826	1000	0.314000	0.314000	0.310014	
1000	0.323000	3.517826	1000	0.323000	0.323000	0.310120	
1000	0.314000	3.517826	1000	0.314000	0.314000	0.310152	
1000	0.339000	3.517826	1000	0.339000	0.339000	0.310385	
1000	0.317000	3.517826	1000	0.317000	0.317000	0.310438	
1000	0.354000	3.517826	1000	0.354000	0.354000	0.310783	
1000	0.328000	3.517826	1000	0.328000	0.328000	0.310919	
1000	0.313000	3.517826	1000	0.313000	0.313000	0.310935	
1000	0.292000	3.517826	1000	0.292000	0.292000	0.310788	
1000	0.316000	3.517826	1000	0.316000	0.316000	0.310828	
1000	0.353000	3.517826	1000	0.353000	0.353000	0.311150	
1000	0.361000	3.517826	1000	0.361000	0.361000	0.311528	
1000	0.334000	3.517826	1000	0.334000	0.334000	0.311697	
1000	0.338000	3.517826	1000	0.338000	0.338000	0.311893	
1000	0.333000	3.517826	1000	0.333000	0.333000	0.312050	
1000	0.338000	3.517826	1000	0.338000	0.338000	0.312240	
1000	0.323000	3.517826	1000	0.323000	0.323000	0.312319	
1000	0.322000	3.517826	1000	0.322000	0.322000	0.312389	
1000	0.266000	3.517826	1000	0.266000	0.266000	0.312055	
1000	0.313000	3.517826	1000	0.313000	0.313000	0.312062	
1000	0.334000	3.517826	1000	0.334000	0.334000	0.312218	
1000	0.337000	3.517826	1000	0.337000	0.337000	0.312392	
1000	0.295000	3.517826	1000	0.295000	0.295000	0.312271	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.312255	
1000	0.306000	3.517826	1000	0.306000	0.306000	0.312212	
1000	0.287000	3.517826	1000	0.287000	0.287000	0.312039	
1000	0.313000	3.517826	1000	0.313000	0.313000	0.312045	
1000	0.324000	3.517826	1000	0.324000	0.324000	0.312126	
1000	0.272000	3.517826	1000	0.272000	0.272000	0.311857	
1000	0.293000	3.517826	1000	0.293000	0.293000	0.311731	
1000	0.300000	3.517826	1000	0.300000	0.300000	0.311654	
1000	0.272000	3.517826	1000	0.272000	0.272000	0.311393	
1000	0.318000	3.517826	1000	0.318000	0.318000	0.311436	
1000	0.311000	3.517826	1000	0.311000	0.311000	0.311433	
1000	0.280000	3.517826	1000	0.280000	0.280000	0.311230	
1000	0.308000	3.517826	1000	0.308000	0.308000	0.311210	
1000	0.300000	3.517826	1000	0.300000	0.300000	0.311138	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.311131	
1000	0.279000	3.517826	1000	0.279000	0.279000	0.310929	
1000	0.320000	3.517826	1000	0.320000	0.320000	0.310986	
1000	0.311000	3.517826	1000	0.311000	0.311000	0.310986	
1000	0.295000	3.517826	1000	0.295000	0.295000	0.310887	
1000	0.309000	3.517826	1000	0.309000	0.309000	0.310875	
1000	0.322000	3.517826	1000	0.322000	0.322000	0.310943	
1000	0.336000	3.517826	1000	0.336000	0.336000	0.311095	
1000	0.310000	3.517826	1000	0.310000	0.310000	0.311088	
1000	0.320000	3.517826	1000	0.320000	0.320000	0.311142	
1000	0.323000	3.517826	1000	0.323000	0.323000	0.311212	
1000	0.311000	3.517826	1000	0.311000	0.311000	0.311211	
1000	0.330000	3.517826	1000	0.330000	0.330000	0.311322	
1000	0.298000	3.517826	1000	0.298000	0.298000	0.311244	
1000	0.328000	3.517826	1000	0.328000	0.328000	0.311341	
1000	0.311000	3.517826	1000	0.311000	0.311000	0.311339	
1000	0.318000	3.517826	1000	0.318000	0.318000	0.311378	
1000	0.323000	3.517826	1000	0.323000	0.323000	0.311444	
1000	0.267000	3.517826	1000	0.267000	0.267000	0.311191	
1000	0.318000	3.517826	1000	0.318000	0.318000	0.311230	
1000	0.294000	3.517826	1000	0.294000	0.294000	0.311133	
