Options:
Model:                           MultiState
Tree File Name:                  brady.rooted.nexus
Data File Name:                  brady.trait
Log File Name:                   brady.trait.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2846103684
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      100000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   brady.trait.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               F,M,V,f
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	TagBrady	2	Bradyrhizobium_oligotrophicum_S58 Bradyrhizobium_elkanii_USDA_3259 
	Tag_Brady_Outgroup	2	Tardiphaga_robiniae_Vaf-07 Bradyrhizobium_elkanii_USDA_3259 
	Tag_Outgroup	2	Tardiphaga_robiniae_Vaf-07 Rhodopseudomonas_palustris_BisB18 
	Tag_Rhodo	2	Rhodopseudomonas_palustris_BisB18 Rhodopseudomonas_palustris_HaA2 
	Tag_Rhodo1	2	Rhodopseudomonas_palustris_HaA2 Rhodopseudomonas_sp_B29 
Restrictions:
    qFM                          None
    qFV                          None
    qFf                          None
    qMF                          None
    qMV                          None
    qMf                          None
    qVF                          None
    qVM                          None
    qVf                          None
    qfF                          None
    qfM                          None
    qfV                          None
Prior Information:
    Prior Categories:            100
    Priors
        qFM - uniform 0.00 100.00 
        qFV - uniform 0.00 100.00 
        qFf - uniform 0.00 100.00 
        qMF - uniform 0.00 100.00 
        qMV - uniform 0.00 100.00 
        qMf - uniform 0.00 100.00 
        qVF - uniform 0.00 100.00 
        qVM - uniform 0.00 100.00 
        qVf - uniform 0.00 100.00 
        qfF - uniform 0.00 100.00 
        qfM - uniform 0.00 100.00 
        qfV - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	MRCA Node-01 TagBrady
	MRCA Node-02 Tag_Brady_Outgroup
	MRCA Node-03 Tag_Outgroup
	MRCA Node-04 Tag_Rhodo
	MRCA Node-05 Tag_Rhodo1
Tree Information
     Trees:                      2
     Taxa:                       120
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	qFM	qFV	qFf	qMF	qMV	qMf	qVF	qVM	qVf	qfF	qfM	qfV	Root P(F)	Root P(M)	Root P(V)	Root P(f)	Node-01 P(F)	Node-01 P(M)	Node-01 P(V)	Node-01 P(f)	Node-02 P(F)	Node-02 P(M)	Node-02 P(V)	Node-02 P(f)	Node-03 P(F)	Node-03 P(M)	Node-03 P(V)	Node-03 P(f)	Node-04 P(F)	Node-04 P(M)	Node-04 P(V)	Node-04 P(f)	Node-05 P(F)	Node-05 P(M)	Node-05 P(V)	Node-05 P(f)	
11000	-65.535498	2	8.074930	11.887895	1.400888	13.743848	18.993702	47.778071	34.269329	40.739720	80.435777	10.464855	1.212499	14.153829	0.266033	0.245326	0.247064	0.241577	0.651932	0.108058	0.151516	0.088495	0.368779	0.205794	0.233462	0.191965	0.168147	0.274666	0.266925	0.290262	0.103163	0.293266	0.270541	0.333030	0.022813	0.250593	0.260816	0.465777	
12000	-61.152772	1	2.689151	3.444475	8.691851	15.032130	1.124011	15.265815	3.973883	18.738271	30.846698	1.896932	1.528589	7.207867	0.241594	0.319342	0.257944	0.181120	0.909770	0.077538	0.010904	0.001788	0.640760	0.215837	0.097058	0.046345	0.220616	0.225141	0.261616	0.292628	0.072645	0.125359	0.265257	0.536739	0.022129	0.051424	0.163568	0.762880	
13000	-66.310082	2	1.471347	5.347505	22.898519	16.276645	9.729553	33.065520	97.103354	35.329470	48.844551	6.568084	13.597309	14.415509	0.242056	0.254822	0.247592	0.255530	0.442298	0.152634	0.289194	0.115874	0.320825	0.213710	0.271911	0.193554	0.241959	0.248664	0.247661	0.261716	0.215930	0.253707	0.237899	0.292464	0.129174	0.200483	0.191807	0.478536	
14000	-63.776805	1	2.251279	7.926665	10.197582	6.702671	23.751856	34.062902	51.080922	38.592405	50.182144	3.913047	0.679081	12.272633	0.254972	0.256243	0.251401	0.237383	0.737817	0.055660	0.179571	0.026952	0.444607	0.164430	0.266993	0.123970	0.187692	0.261316	0.254913	0.296079	0.108274	0.277006	0.228710	0.386010	0.036067	0.198978	0.177907	0.587047	
15000	-62.610446	1	5.912071	0.163584	13.114319	0.851471	7.594471	36.813930	4.806989	62.573619	51.635049	13.583370	7.635422	12.777981	0.224694	0.264864	0.260672	0.249769	0.870073	0.018199	0.031279	0.080450	0.548816	0.106862	0.136110	0.208213	0.205987	0.261218	0.263840	0.268955	0.120601	0.305942	0.296664	0.276792	0.046840	0.246385	0.275930	0.430845	
16000	-61.158791	1	4.137998	1.093048	6.645605	30.736069	27.251998	35.616366	2.880679	36.545006	84.798880	3.155780	11.383298	26.983413	0.177900	0.250915	0.282039	0.289145	0.850748	0.111819	0.022888	0.014545	0.469834	0.267566	0.143976	0.118624	0.137046	0.270888	0.293792	0.298274	0.052512	0.230381	0.342580	0.374527	0.013292	0.172807	0.352479	0.461422	
17000	-62.098634	2	0.063020	1.273369	8.706861	9.556569	87.880416	0.180442	1.702883	75.094978	48.489414	8.504612	2.741197	24.565679	0.127505	0.295002	0.298553	0.278940	0.947910	0.018503	0.011279	0.022309	0.603359	0.132149	0.111208	0.153284	0.172559	0.252546	0.265922	0.308973	0.068369	0.262772	0.303437	0.365422	0.024280	0.117407	0.232257	0.626056	
18000	-63.896261	1	8.133338	1.810956	1.980817	36.573074	37.010524	53.151784	35.770023	27.023828	69.370737	0.717936	19.801225	10.768697	0.173111	0.257146	0.262838	0.306905	0.719435	0.136428	0.119840	0.024297	0.332020	0.266488	0.256542	0.144950	0.100398	0.276844	0.287115	0.335643	0.039016	0.247333	0.268572	0.445079	0.007364	0.206998	0.242854	0.542784	
19000	-65.512337	2	0.623697	5.034166	12.629853	6.526186	93.321542	31.049096	99.562594	81.401225	74.932123	8.790527	11.264894	19.253990	0.231527	0.254519	0.248982	0.264971	0.449723	0.187386	0.243334	0.119557	0.301972	0.236516	0.255310	0.206202	0.198072	0.261067	0.248716	0.292145	0.153117	0.267684	0.239624	0.339575	0.055068	0.229640	0.201765	0.513527	
20000	-65.584883	2	2.223188	14.629180	9.584469	9.655441	32.332066	29.905453	46.239639	99.049338	85.427306	4.908852	5.862934	39.008315	0.241492	0.253425	0.251480	0.253602	0.653188	0.104587	0.156296	0.085929	0.402020	0.192983	0.226237	0.178760	0.217424	0.258346	0.256288	0.267942	0.162982	0.273275	0.261490	0.302253	0.063090	0.224314	0.252022	0.460574	
