Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
817	0.343941	183	1.000000	1.366305	817	0.343941	0.464000	0.505500	
809	0.373300	191	1.000000	1.366305	809	0.373300	0.493000	0.504458	
816	0.340686	184	1.000000	1.366305	816	0.340686	0.462000	0.501192	
829	0.342581	171	1.000000	1.366305	829	0.342581	0.455000	0.497893	
796	0.359296	204	1.000000	1.366305	796	0.359296	0.490000	0.497367	
789	0.387833	211	1.000000	1.366305	789	0.387833	0.517000	0.498594	
828	0.370773	172	1.000000	1.366305	828	0.370773	0.479000	0.497441	
830	0.361446	170	1.000000	1.366305	830	0.361446	0.470000	0.495917	
830	0.319277	170	1.000000	1.366305	830	0.319277	0.435000	0.492711	
799	0.374218	201	1.000000	1.366305	799	0.374218	0.500000	0.493075	
814	0.328010	186	1.000000	1.366305	814	0.328010	0.453000	0.491167	
828	0.351449	172	1.000000	1.366305	828	0.351449	0.463000	0.489887	
849	0.327444	151	1.000000	1.366305	849	0.327444	0.429000	0.487240	
820	0.343902	180	1.000000	1.366305	820	0.343902	0.462000	0.486188	
823	0.323208	177	1.000000	1.366305	823	0.323208	0.443000	0.484461	
824	0.351942	176	1.000000	1.366305	824	0.351942	0.466000	0.483751	
820	0.395122	180	1.000000	1.366305	820	0.395122	0.504000	0.484501	
823	0.332928	177	1.000000	1.366305	823	0.332928	0.451000	0.483304	
824	0.367718	176	1.000000	1.366305	824	0.367718	0.479000	0.483156	
839	0.353993	161	1.000000	1.366305	839	0.353993	0.458000	0.482317	
813	0.345633	187	1.000000	1.366305	813	0.345633	0.468000	0.481855	
818	0.393643	182	1.000000	1.366305	818	0.393643	0.504000	0.482547	
821	0.331303	179	1.000000	1.366305	821	0.331303	0.451000	0.481591	
825	0.340606	175	0.994286	1.366305	825	0.340606	0.455000	0.480809	
845	0.371598	155	1.000000	1.366305	845	0.371598	0.469000	0.480472	
822	0.373479	178	1.000000	1.366305	822	0.373479	0.485000	0.480598	
811	0.323058	189	1.000000	1.366305	811	0.323058	0.451000	0.479798	
838	0.309069	162	1.000000	1.366305	838	0.309069	0.421000	0.478251	
828	0.385266	172	1.000000	1.366305	828	0.385266	0.491000	0.478577	
807	0.349442	193	1.000000	1.366305	807	0.349442	0.475000	0.478488	
819	0.393162	181	1.000000	1.366305	819	0.393162	0.503000	0.479086	
822	0.373479	178	1.000000	1.366305	822	0.373479	0.485000	0.479227	
814	0.371007	186	1.000000	1.366305	814	0.371007	0.488000	0.479431	
805	0.327950	195	1.000000	1.366305	805	0.327950	0.459000	0.478966	
803	0.348692	197	1.000000	1.366305	803	0.348692	0.477000	0.478923	
851	0.346651	149	1.000000	1.366305	851	0.346651	0.444000	0.478164	
822	0.378345	178	1.000000	1.366305	822	0.378345	0.489000	0.478394	
834	0.363309	166	1.000000	1.366305	834	0.363309	0.469000	0.478198	
830	0.375904	170	1.000000	1.366305	830	0.375904	0.482000	0.478276	
819	0.367521	181	1.000000	1.366305	819	0.367521	0.482000	0.478350	
805	0.325466	195	1.000000	1.366305	805	0.325466	0.457000	0.477932	
822	0.346715	178	1.000000	1.366305	822	0.346715	0.463000	0.477645	
827	0.371221	173	1.000000	1.366305	827	0.371221	0.480000	0.477689	
813	0.327183	187	1.000000	1.366305	813	0.327183	0.453000	0.477232	
808	0.344059	192	1.000000	1.366305	808	0.344059	0.470000	0.477100	
836	0.306220	164	1.000000	1.366305	836	0.306220	0.420000	0.476081	
813	0.348093	187	1.000000	1.366305	813	0.348093	0.470000	0.475974	
797	0.331242	203	1.000000	1.366305	797	0.331242	0.467000	0.475819	
819	0.335775	181	1.000000	1.366305	819	0.335775	0.456000	0.475483	
813	0.327183	187	1.000000	1.366305	813	0.327183	0.453000	0.475109	
813	0.337023	187	1.000000	1.366305	813	0.337023	0.461000	0.474877	
818	0.328851	182	1.000000	1.366305	818	0.328851	0.451000	0.474492	
820	0.425610	180	1.000000	1.366305	820	0.425610	0.529000	0.475358	
820	0.384146	180	1.000000	1.381894	820	0.384146	0.495000	0.475664	
824	0.287621	176	1.000000	1.381894	824	0.287621	0.413000	0.474700	
816	0.345588	184	1.000000	1.381894	816	0.345588	0.466000	0.474569	
829	0.335344	171	1.000000	1.381894	829	0.335344	0.449000	0.474187	
812	0.344828	188	1.000000	1.381894	812	0.344828	0.468000	0.474096	
815	0.328834	185	1.000000	1.381894	815	0.328834	0.453000	0.473790	
827	0.338573	173	1.000000	1.381894	827	0.338573	0.453000	0.473493	
825	0.358788	175	1.000000	1.381894	825	0.358788	0.471000	0.473458	
815	0.306748	185	1.000000	1.381894	815	0.306748	0.435000	0.472924	
